question_id,comparison_file,prompt_condition,baseline_first_modal_verdict,comparison_first_modal_verdict,baseline_first_selected_candidate,comparison_first_selected_candidate,evaluable,position_consistent,inconsistent_preference
81,alpaca-13b.jsonl,original,A,B,baseline,baseline,True,True,
81,alpaca-13b.jsonl,warning_ablation,A,B,baseline,baseline,True,True,
81,gpt-3.5-turbo.jsonl,original,A,B,baseline,baseline,True,True,
81,gpt-3.5-turbo.jsonl,warning_ablation,A,B,baseline,baseline,True,True,
81,gpt-4.jsonl,original,B,B,comparison,baseline,True,False,recency
81,gpt-4.jsonl,warning_ablation,B,B,comparison,baseline,True,False,recency
82,alpaca-13b.jsonl,original,A,B,baseline,baseline,True,True,
82,alpaca-13b.jsonl,warning_ablation,A,A,baseline,comparison,True,False,primacy
82,gpt-3.5-turbo.jsonl,original,B,B,comparison,baseline,True,False,recency
82,gpt-3.5-turbo.jsonl,warning_ablation,A,B,baseline,baseline,True,True,
82,gpt-4.jsonl,original,A,B,baseline,baseline,True,True,
82,gpt-4.jsonl,warning_ablation,B,A,comparison,comparison,True,True,
83,alpaca-13b.jsonl,original,A,A,baseline,comparison,True,False,primacy
83,alpaca-13b.jsonl,warning_ablation,A,B,baseline,baseline,True,True,
83,gpt-3.5-turbo.jsonl,original,B,A,comparison,comparison,True,True,
83,gpt-3.5-turbo.jsonl,warning_ablation,B,A,comparison,comparison,True,True,
83,gpt-4.jsonl,original,A,A,baseline,comparison,True,False,primacy
83,gpt-4.jsonl,warning_ablation,A,B,baseline,baseline,True,True,
101,alpaca-13b.jsonl,original,B,B,comparison,baseline,True,False,recency
101,alpaca-13b.jsonl,warning_ablation,B,B,comparison,baseline,True,False,recency
101,gpt-3.5-turbo.jsonl,original,B,B,comparison,baseline,True,False,recency
101,gpt-3.5-turbo.jsonl,warning_ablation,A,B,baseline,baseline,True,True,
101,gpt-4.jsonl,original,A,B,baseline,baseline,True,True,
101,gpt-4.jsonl,warning_ablation,A,B,baseline,baseline,True,True,
102,alpaca-13b.jsonl,original,A,B,baseline,baseline,True,True,
102,alpaca-13b.jsonl,warning_ablation,A,B,baseline,baseline,True,True,
102,gpt-3.5-turbo.jsonl,original,A,B,baseline,baseline,True,True,
102,gpt-3.5-turbo.jsonl,warning_ablation,A,B,baseline,baseline,True,True,
102,gpt-4.jsonl,original,A,B,baseline,baseline,True,True,
102,gpt-4.jsonl,warning_ablation,B,B,comparison,baseline,True,False,recency
103,alpaca-13b.jsonl,original,A,B,baseline,baseline,True,True,
103,alpaca-13b.jsonl,warning_ablation,A,B,baseline,baseline,True,True,
103,gpt-3.5-turbo.jsonl,original,A,A,baseline,comparison,True,False,primacy
103,gpt-3.5-turbo.jsonl,warning_ablation,A,B,baseline,baseline,True,True,
103,gpt-4.jsonl,original,B,B,comparison,baseline,True,False,recency
103,gpt-4.jsonl,warning_ablation,B,B,comparison,baseline,True,False,recency
141,alpaca-13b.jsonl,original,A,B,baseline,baseline,True,True,
141,alpaca-13b.jsonl,warning_ablation,A,B,baseline,baseline,True,True,
141,gpt-3.5-turbo.jsonl,original,A,B,baseline,baseline,True,True,
141,gpt-3.5-turbo.jsonl,warning_ablation,A,B,baseline,baseline,True,True,
141,gpt-4.jsonl,original,A,B,baseline,baseline,True,True,
141,gpt-4.jsonl,warning_ablation,A,A,baseline,comparison,True,False,primacy
142,alpaca-13b.jsonl,original,A,B,baseline,baseline,True,True,
142,alpaca-13b.jsonl,warning_ablation,A,B,baseline,baseline,True,True,
142,gpt-3.5-turbo.jsonl,original,A,B,baseline,baseline,True,True,
142,gpt-3.5-turbo.jsonl,warning_ablation,A,A,baseline,comparison,True,False,primacy
142,gpt-4.jsonl,original,A,A,baseline,comparison,True,False,primacy
142,gpt-4.jsonl,warning_ablation,B,B,comparison,baseline,True,False,recency
143,alpaca-13b.jsonl,original,B,B,comparison,baseline,True,False,recency
143,alpaca-13b.jsonl,warning_ablation,B,B,comparison,baseline,True,False,recency
143,gpt-3.5-turbo.jsonl,original,B,A,comparison,comparison,True,True,
143,gpt-3.5-turbo.jsonl,warning_ablation,B,A,comparison,comparison,True,True,
143,gpt-4.jsonl,original,B,A,comparison,comparison,True,True,
143,gpt-4.jsonl,warning_ablation,B,A,comparison,comparison,True,True,
151,alpaca-13b.jsonl,original,A,B,baseline,baseline,True,True,
151,alpaca-13b.jsonl,warning_ablation,A,B,baseline,baseline,True,True,
151,gpt-3.5-turbo.jsonl,original,A,A,baseline,comparison,True,False,primacy
151,gpt-3.5-turbo.jsonl,warning_ablation,A,A,baseline,comparison,True,False,primacy
151,gpt-4.jsonl,original,B,A,comparison,comparison,True,True,
151,gpt-4.jsonl,warning_ablation,B,A,comparison,comparison,True,True,
152,alpaca-13b.jsonl,original,A,B,baseline,baseline,True,True,
152,alpaca-13b.jsonl,warning_ablation,A,B,baseline,baseline,True,True,
152,gpt-3.5-turbo.jsonl,original,A,B,baseline,baseline,True,True,
152,gpt-3.5-turbo.jsonl,warning_ablation,A,B,baseline,baseline,True,True,
152,gpt-4.jsonl,original,B,A,comparison,comparison,True,True,
152,gpt-4.jsonl,warning_ablation,B,A,comparison,comparison,True,True,
153,alpaca-13b.jsonl,original,A,B,baseline,baseline,True,True,
153,alpaca-13b.jsonl,warning_ablation,A,B,baseline,baseline,True,True,
153,gpt-3.5-turbo.jsonl,original,B,A,comparison,comparison,True,True,
153,gpt-3.5-turbo.jsonl,warning_ablation,B,A,comparison,comparison,True,True,
153,gpt-4.jsonl,original,A,A,baseline,comparison,True,False,primacy
153,gpt-4.jsonl,warning_ablation,A,A,baseline,comparison,True,False,primacy
