question_id,category,comparison_file,question_turns_complete,baseline_turns_complete,comparison_turns_complete,candidate_contains_verdict_token,baseline_characters,comparison_characters,max_rendered_chat_tokens,tokenizer_context_limit,max_context_fraction,baseline_published_mean_score,comparison_published_mean_score,absolute_score_gap,quality_gap,published_score_reference,exact_pairwise_judgment_available
81,writing,alpaca-13b.jsonl,True,True,True,False,4040,1455,1492,32768,0.0455322265625,8.0,4.0,4.0,clear,vicuna-13b-v1.3,False
81,writing,gpt-3.5-turbo.jsonl,True,True,True,False,4040,2678,1764,32768,0.0538330078125,8.0,9.5,1.5,close,gpt-3.5-turbo,True
81,writing,gpt-4.jsonl,True,True,True,False,4040,5313,2329,32768,0.071075439453125,8.0,10.0,2.0,clear,gpt-4,False
82,writing,alpaca-13b.jsonl,True,True,True,False,2140,449,885,32768,0.027008056640625,9.5,7.5,2.0,clear,vicuna-13b-v1.3,False
82,writing,gpt-3.5-turbo.jsonl,True,True,True,False,2140,2089,1196,32768,0.0364990234375,9.5,9.0,0.5,close,vicuna-13b-v1.3,True
82,writing,gpt-4.jsonl,True,True,True,False,2140,2522,1250,32768,0.03814697265625,9.5,9.5,0.0,close,tie,False
83,writing,alpaca-13b.jsonl,True,True,True,False,1511,471,857,32768,0.026153564453125,8.5,8.0,0.5,close,vicuna-13b-v1.3,False
83,writing,gpt-3.5-turbo.jsonl,True,True,True,False,1511,1083,949,32768,0.028961181640625,8.5,8.5,0.0,close,tie,True
83,writing,gpt-4.jsonl,True,True,True,False,1511,1634,1231,32768,0.037567138671875,8.5,9.0,0.5,close,gpt-4,False
101,reasoning,alpaca-13b.jsonl,True,True,True,False,290,139,503,32768,0.015350341796875,6.0,1.5,4.5,clear,vicuna-13b-v1.3,False
101,reasoning,gpt-3.5-turbo.jsonl,True,True,True,False,290,287,532,32768,0.0162353515625,6.0,10.0,4.0,clear,gpt-3.5-turbo,True
101,reasoning,gpt-4.jsonl,True,True,True,False,290,470,571,32768,0.017425537109375,6.0,10.0,4.0,clear,gpt-4,False
102,reasoning,alpaca-13b.jsonl,True,True,True,False,710,167,566,32768,0.01727294921875,10.0,5.5,4.5,clear,vicuna-13b-v1.3,False
102,reasoning,gpt-3.5-turbo.jsonl,True,True,True,False,710,206,573,32768,0.017486572265625,10.0,9.0,1.0,close,vicuna-13b-v1.3,True
102,reasoning,gpt-4.jsonl,True,True,True,False,710,384,614,32768,0.01873779296875,10.0,10.0,0.0,close,tie,False
103,reasoning,alpaca-13b.jsonl,True,True,True,False,2760,988,1050,32768,0.03204345703125,8.5,5.0,3.5,clear,vicuna-13b-v1.3,False
103,reasoning,gpt-3.5-turbo.jsonl,True,True,True,False,2760,1813,1197,32768,0.036529541015625,8.5,8.0,0.5,close,vicuna-13b-v1.3,True
103,reasoning,gpt-4.jsonl,True,True,True,False,2760,2509,1303,32768,0.039764404296875,8.5,10.0,1.5,close,gpt-4,False
141,stem,alpaca-13b.jsonl,True,True,True,False,2769,824,1007,32768,0.030731201171875,9.0,4.0,5.0,clear,vicuna-13b-v1.3,False
141,stem,gpt-3.5-turbo.jsonl,True,True,True,False,2769,2027,1237,32768,0.037750244140625,9.0,9.0,0.0,close,tie,True
141,stem,gpt-4.jsonl,True,True,True,False,2769,3324,1464,32768,0.044677734375,9.0,9.5,0.5,close,gpt-4,False
142,stem,alpaca-13b.jsonl,True,True,True,False,2639,1351,1174,32768,0.03582763671875,5.0,1.5,3.5,clear,vicuna-13b-v1.3,False
142,stem,gpt-3.5-turbo.jsonl,True,True,True,False,2639,2296,1370,32768,0.04180908203125,5.0,8.0,3.0,clear,gpt-3.5-turbo,True
142,stem,gpt-4.jsonl,True,True,True,False,2639,3938,1740,32768,0.0531005859375,5.0,10.0,5.0,clear,gpt-4,False
143,stem,alpaca-13b.jsonl,True,True,True,False,2939,1040,1288,32768,0.039306640625,9.0,5.0,4.0,clear,vicuna-13b-v1.3,False
143,stem,gpt-3.5-turbo.jsonl,True,True,True,False,2939,3903,1937,32768,0.059112548828125,9.0,10.0,1.0,close,gpt-3.5-turbo,True
143,stem,gpt-4.jsonl,True,True,True,False,2939,4263,2079,32768,0.063446044921875,9.0,10.0,1.0,close,gpt-4,False
151,humanities,alpaca-13b.jsonl,True,True,True,False,2623,1916,1221,32768,0.037261962890625,9.5,6.5,3.0,clear,vicuna-13b-v1.3,False
151,humanities,gpt-3.5-turbo.jsonl,True,True,True,False,2623,3282,1503,32768,0.045867919921875,9.5,9.5,0.0,close,tie,True
151,humanities,gpt-4.jsonl,True,True,True,False,2623,5150,1842,32768,0.05621337890625,9.5,10.0,0.5,close,gpt-4,False
152,humanities,alpaca-13b.jsonl,True,True,True,False,2947,913,1154,32768,0.03521728515625,9.5,9.0,0.5,close,vicuna-13b-v1.3,False
152,humanities,gpt-3.5-turbo.jsonl,True,True,True,False,2947,1703,1350,32768,0.04119873046875,9.5,9.5,0.0,close,tie,True
152,humanities,gpt-4.jsonl,True,True,True,False,2947,3838,1784,32768,0.054443359375,9.5,9.5,0.0,close,tie,False
153,humanities,alpaca-13b.jsonl,True,True,True,False,6326,2050,1970,32768,0.06011962890625,9.5,9.0,0.5,close,vicuna-13b-v1.3,False
153,humanities,gpt-3.5-turbo.jsonl,True,True,True,False,6326,4465,2380,32768,0.0726318359375,9.5,9.5,0.0,close,tie,True
153,humanities,gpt-4.jsonl,True,True,True,False,6326,7295,2949,32768,0.089996337890625,9.5,10.0,0.5,close,gpt-4,False
