question_id,category,selection_status,selection_reason
81,writing,frozen,first of three prespecified items in category; material audit passed
82,writing,frozen,second of three prespecified items in category; material audit passed
83,writing,frozen,third of three prespecified items in category; material audit passed
101,reasoning,frozen,first of three prespecified items in category; material audit passed
102,reasoning,frozen,second of three prespecified items in category; material audit passed
103,reasoning,frozen,third of three prespecified items in category; material audit passed
141,stem,frozen,first of three prespecified items in category; material audit passed
142,stem,frozen,second of three prespecified items in category; material audit passed
143,stem,frozen,third of three prespecified items in category; material audit passed
151,humanities,frozen,first of three prespecified items in category; material audit passed
152,humanities,frozen,second of three prespecified items in category; material audit passed
153,humanities,frozen,third of three prespecified items in category; material audit passed
