question_id,comparison_file,order,prompt_condition,scheduled_n,collected_n,valid_n,invalid_n,modal_verdict,modal_count,stability_valid,stability_all_scheduled
81,alpaca-13b.jsonl,baseline_comparison,original,3,3,3,0,A,3,1.0,1.0
81,alpaca-13b.jsonl,baseline_comparison,warning_ablation,3,3,3,0,A,3,1.0,1.0
81,alpaca-13b.jsonl,comparison_baseline,original,3,3,3,0,B,3,1.0,1.0
81,alpaca-13b.jsonl,comparison_baseline,warning_ablation,3,3,3,0,B,3,1.0,1.0
81,gpt-3.5-turbo.jsonl,baseline_comparison,original,3,3,3,0,A,3,1.0,1.0
81,gpt-3.5-turbo.jsonl,baseline_comparison,warning_ablation,3,3,3,0,A,3,1.0,1.0
81,gpt-3.5-turbo.jsonl,comparison_baseline,original,3,3,3,0,B,3,1.0,1.0
81,gpt-3.5-turbo.jsonl,comparison_baseline,warning_ablation,3,3,3,0,B,3,1.0,1.0
81,gpt-4.jsonl,baseline_comparison,original,3,3,3,0,B,3,1.0,1.0
81,gpt-4.jsonl,baseline_comparison,warning_ablation,3,3,3,0,B,2,0.6666666666666666,0.6666666666666666
81,gpt-4.jsonl,comparison_baseline,original,3,3,3,0,B,3,1.0,1.0
81,gpt-4.jsonl,comparison_baseline,warning_ablation,3,3,3,0,B,3,1.0,1.0
82,alpaca-13b.jsonl,baseline_comparison,original,3,3,3,0,A,3,1.0,1.0
82,alpaca-13b.jsonl,baseline_comparison,warning_ablation,3,3,3,0,A,3,1.0,1.0
82,alpaca-13b.jsonl,comparison_baseline,original,3,3,3,0,B,3,1.0,1.0
82,alpaca-13b.jsonl,comparison_baseline,warning_ablation,3,3,3,0,A,3,1.0,1.0
82,gpt-3.5-turbo.jsonl,baseline_comparison,original,3,3,3,0,B,3,1.0,1.0
82,gpt-3.5-turbo.jsonl,baseline_comparison,warning_ablation,3,3,3,0,A,3,1.0,1.0
82,gpt-3.5-turbo.jsonl,comparison_baseline,original,3,3,3,0,B,3,1.0,1.0
82,gpt-3.5-turbo.jsonl,comparison_baseline,warning_ablation,3,3,3,0,B,3,1.0,1.0
82,gpt-4.jsonl,baseline_comparison,original,3,3,3,0,A,2,0.6666666666666666,0.6666666666666666
82,gpt-4.jsonl,baseline_comparison,warning_ablation,3,3,3,0,B,3,1.0,1.0
82,gpt-4.jsonl,comparison_baseline,original,3,3,3,0,B,2,0.6666666666666666,0.6666666666666666
